run_id,iteration,scenario,scenario_desc,api,latency_ms,size_bytes
192,24,C4_collection,Colecao (50 usuarios completos),GraphQL,4.0955,30062
193,25,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8648,554
194,25,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.1498,574
195,25,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8636,554
196,25,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.8588,87
197,25,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.9019,18380
198,25,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.4672,13238
199,25,C4_collection,Colecao (50 usuarios completos),REST,2.0596,29943
200,25,C4_collection,Colecao (50 usuarios completos),GraphQL,4.911,30062
201,26,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8597,554
202,26,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9976,574
203,26,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8252,554
204,26,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7608,87
205,26,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,13.1138,18380
206,26,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.7849,13238
207,26,C4_collection,Colecao (50 usuarios completos),REST,1.9488,29943
208,26,C4_collection,Colecao (50 usuarios completos),GraphQL,4.1709,30062
209,27,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8688,554
210,27,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.5274,574
211,27,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8926,554
212,27,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7982,87
213,27,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,13.1124,18380
214,27,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.71,13238
215,27,C4_collection,Colecao (50 usuarios completos),REST,2.8575,29943
216,27,C4_collection,Colecao (50 usuarios completos),GraphQL,4.1874,30062
217,28,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.1056,554
218,28,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,4.0575,574
219,28,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.9141,554
220,28,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.8481,87
221,28,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.012,18380
222,28,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.5865,13238
223,28,C4_collection,Colecao (50 usuarios completos),REST,1.9764,29943
224,28,C4_collection,Colecao (50 usuarios completos),GraphQL,4.1381,30062
225,29,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.7547,554
226,29,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,4.0259,574
227,29,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8197,554
228,29,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.9462,87
229,29,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,13.6385,18380
230,29,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.5933,13238
231,29,C4_collection,Colecao (50 usuarios completos),REST,1.8515,29943
232,29,C4_collection,Colecao (50 usuarios completos),GraphQL,3.8644,30062
233,30,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.9656,554
234,30,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.8631,574
235,30,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.734,554
236,30,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7699,87
237,30,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.5485,18380
238,30,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.6198,13238
239,30,C4_collection,Colecao (50 usuarios completos),REST,1.9506,29943
240,30,C4_collection,Colecao (50 usuarios completos),GraphQL,4.0087,30062
241,31,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.6212,554
242,31,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.0506,574
243,31,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.822,554
244,31,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7596,87
245,31,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.1234,18380
246,31,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.7832,13238
247,31,C4_collection,Colecao (50 usuarios completos),REST,1.896,29943
248,31,C4_collection,Colecao (50 usuarios completos),GraphQL,4.321,30062
249,32,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.6736,554
250,32,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,4.235,574
251,32,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8385,554
252,32,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7956,87
253,32,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.2208,18380
254,32,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.518,13238
255,32,C4_collection,Colecao (50 usuarios completos),REST,1.8873,29943
256,32,C4_collection,Colecao (50 usuarios completos),GraphQL,3.8766,30062
257,33,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8091,554
258,33,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9476,574
259,33,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8684,554
260,33,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.8276,87
261,33,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.782,18380
262,33,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,4.6034,13238
263,33,C4_collection,Colecao (50 usuarios completos),REST,1.755,29943
264,33,C4_collection,Colecao (50 usuarios completos),GraphQL,3.954,30062
265,34,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.4988,554
266,34,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9444,574
267,34,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.6749,554
268,34,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.533,87
269,34,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.0754,18380
270,34,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.4865,13238
271,34,C4_collection,Colecao (50 usuarios completos),REST,1.7485,29943
272,34,C4_collection,Colecao (50 usuarios completos),GraphQL,3.7507,30062
273,35,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.4165,554
274,35,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9945,574
275,35,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.5029,554
276,35,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.4974,87
277,35,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.991,18380
278,35,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.2643,13238
279,35,C4_collection,Colecao (50 usuarios completos),REST,1.685,29943
280,35,C4_collection,Colecao (50 usuarios completos),GraphQL,3.8189,30062
281,36,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.6264,554
282,36,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9119,574
283,36,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.5322,554
284,36,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.5582,87
285,36,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.3747,18380
286,36,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.3562,13238
287,36,C4_collection,Colecao (50 usuarios completos),REST,1.6231,29943
288,36,C4_collection,Colecao (50 usuarios completos),GraphQL,4.7119,30062
289,37,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.4401,554
290,37,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.6977,574
291,37,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.4991,554
292,37,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.5205,87
293,37,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.0922,18380
294,37,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.8413,13238
295,37,C4_collection,Colecao (50 usuarios completos),REST,1.7376,29943
296,37,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9168,30062
297,38,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.681,554
298,38,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.8343,574
299,38,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.6609,554
300,38,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.1027,87
301,38,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.3573,18380
302,38,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,4.5344,13238
303,38,C4_collection,Colecao (50 usuarios completos),REST,1.9541,29943
304,38,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9281,30062
305,39,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8092,554
306,39,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9522,574
307,39,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.9429,554
308,39,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.8516,87
309,39,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,13.0456,18380
310,39,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.635,13238
311,39,C4_collection,Colecao (50 usuarios completos),REST,1.928,29943
312,39,C4_collection,Colecao (50 usuarios completos),GraphQL,4.098,30062
313,40,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8455,554
314,40,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.199,574
315,40,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8958,554
